VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,VIOLATION_TEXT,REMEDIAL_TEXT,TABLE_NAME,EXPIRED_FLAG,DATE_EXPIRED,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED,FEE_SETUP_ID
33,1,EXTDOOR,Exterior of Buildings – Doors,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code.",CAAH_EXT_DOOR,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
34,1,EXTEPIDRES,Exterior of Buildings – Premises ID Res,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDRES,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
35,1,EXTERMOCUP,Extermination – Multiple Occupancy,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination.",CAAH_EXTER_MOCCUP,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
36,1,EXTEROCCUP,Extermination – Single Occupant,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.,CAAH_EXTER_OCCUP,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
37,1,EXTEROWNER,Extermination – Owner,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof.",CAAH_EXTER_OWNER,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
38,1,EXTERREQ,Extermination Required,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation.",CAAH_EXTER_REQ,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
39,1,EXTERSOCC,Extermination – Occupant,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.,CAAH_EXTER_SOCCUP,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
40,1,EXTEXAH,Exterior Prop Area – Exhaust Vents,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",CAAH_EXT_EXAH,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
41,1,EXTEXTWALL,Exterior of Buildings – Exterior Walls,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration.",CAAH_EXT_EXTWALL,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
42,1,EXTFDWALL,Exterior of Buildings – Foundation Walls,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.,CAAH_EXT_FDWALL,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
43,1,EXTFENMAIN,Exterior Prop Area – Fence Material Main,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in food structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling.",CAAH_EXT_FENMAINT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
44,1,EXTFENMAT,Exterior Prop Area – Fencing Materials,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences.",CAAH_EXT_FENMAT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
45,1,EXTGATE,Exterior Prop Area – Gates,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost.",CAAH_EXT_GATE,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
46,1,EXTGBAWIN,Exterior of Bldgs – Guards Basement Wind,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents.",CAAH_GBAWIN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
47,1,EXTGLAZ,Exterior of Buildings – Glazing,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.,CAAH_EXT_GLAZ,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
48,1,EXTGRAD,Exterior Prop Area – Grading Required,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon.",CAAH_EXT_GRAD,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
49,1,EXTGUTTTER,Exterior of Bldgs – Roofs– Gutter Sys,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance.",CAAH_EXT_GUTTER,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
50,1,EXTHANDGRD,Exterior of Bldgs – Handrails and Guards,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,CAAH_EXT_HANDGRD,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
51,1,EXTOPNWIN,Exterior of Buildings – Openable Windows,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware.",CAAH_EXT_OPNWIN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
52,1,EXTOVEXT,Exterior of Bldgs – Overhang Extensions,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition. ",CAAH_EXT_OVEXT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
53,1,EXTPIDNRES,Exterior of Bldgs – Premises ID Nonres,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDNRES,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
54,1,EXTPIMFAM,Exterior of Bldg – Premises ID Multi-Fam,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIMFAM,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
55,1,EXTPOR,Exterior of Buildings - Porches,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_PORC,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
56,1,EXTPRKAR,Exterior Prop Area – Designated Parking,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area. ,CAAH_EXT_PRKAR,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
57,1,EXTPTMET,Exterior of Bldgs – Treatment Metal Sur,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.,CAAH_EXT_PTMET,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
58,1,EXTPTSID,Exterior of Bldgs – Treatment (Siding),"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight.",CAAH_EXT_PTSID,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
59,1,EXTPTWD,Exterior of Bldgs – Pro Treatment (Wood),"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.",CAAH_EXT_PTWD,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
60,1,EXTREPAIR,Exterior Repair – General,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare. ",CAAH_EXTERIOR_REPAIR,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
61,1,EXTROD,Exterior Prop Area – Rodent Harborage,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation. ",CAAH_EXT_ROD,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
62,1,EXTROFDRAN,Exterior of bldgs – Roofs– Drainage Sys,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.,CAAH_EXT_ROFDRAN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
63,1,EXTROFSYS,Exterior of Bldgs – Roofs – Roof System,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain.",CAAH_EXT_ROFSYS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
64,1,EXTSAN,Exterior Prop Area – Sanitation,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition.",CAAH_EXT_SAN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
65,1,EXTSCRENNR,Exterior of Bldgs  Insect Screens Nonres,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",CAAH_EXT_INSSCNRES,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
66,1,EXTSCRNRES,Exterior of Bldgs – Insect Screens Res,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch. ",CAAH_EXT_INSSCRES,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
67,1,EXTSDWLK,Exterior Prop Area – Sidewalks,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition.",CAAH_EXT_SDWLK,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
68,1,EXTSTA,Exterior of Buildings – Stairways,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.  ",CAAH_EXT_STAIRW,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
69,1,EXTSTMEM,Exterior of Bldgs – Structural Members,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads.",CAAH_EXT_STMEM,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
70,1,EXTSWIM,Exterior Prop Area – Swimming Pools,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair.",CAAH_EXT_SWIM,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
71,1,EXTTRLS,Exterior Prop Area – Trailers Watercraft,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure.",CAAH_EXT_TRLS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
72,1,EXTVEHCON,Exterior Prop Area – Veh – Inop/Unlc,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.,CAAH_EXT_VEHCON,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
73,1,EXTVEHPT,Exterior Prop Area – Vehicle Painting,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.,CAAH_EXT_VEHPT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
74,1,EXTVEHRP,Exterior Prop Area – Veh – Dis/Repair,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential).",CAAH_EXT_VEHRP,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
75,1,EXTWEED,Exterior Prop Area – High Weeds,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.,CAAH_EXT_WEED,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
76,1,EXTWINDDRF,"Ext of Bldgs – Wind, Skylit Door Frames","Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition.",CAAH_EXT_WINDDRF,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
77,1,FENCEGHTPR,Fence Height – Off Right-Of-Way (opaque),Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure (privacy or opaque type fences) shall be two and one half feet in height within ten feet of a street right-of-way.,CAAZ_FENCE_HGT_PRV,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
78,1,FENCEHGFRT,Fence Height – Inside Front Setback,Section 17.12.040 (E) 26(b) - Screening Walls or Fences (Front Setback) Greatest vertical exposure shall be six feet in height within the remainder of the required front setback.,CAAZ_FENCE_HGT_FRT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
79,1,FENCEHGSR,Fence Height – Side and Rear Setback,Section 17.12.040 (E) 26(c) - Screening Walls or Fences (Side and Rear Setback) Greatest vertical exposure shall be eight feet in height within the required side or rear setback or within any platted common open space.,CAAZ_FENCE_HGT_SRER,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
80,1,FENCEHGTOP,Fence Height – Off Right-Of-Way (open),"Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure for open fences, such as chain link or those of a similar nature are permitted to be six feet in height.",CAAZ_FENCE_HGT_OPN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
81,1,FIREDOORS,Fire Safety – Emergency Escape (Doors),"Section 16.24.530 (H) - Locked Doors: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys, tools, or special knowledge or effort.",CAAF_FIRESF_DOORS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
82,1,FIREPSMDIN,Fire Protection – Smoke Detector Install,"Section 16.24.550 (B) - 1a & b Installation: Existing one and two-family dwellings -  outside each separate sleeping room, in the immediate vicinity of the sleeping room and  on each additional story of the dwelling unit including basements.",CAAF_FIREPROT_SMDINS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
83,1,FIRESFESC,Fire Safety – Emergency Escape,"Section 16.24.530 (B) - Emergency Escape and Rescue Openings: Basements with habitable rooms and every sleeping room shall have at least one openable emergency escape and rescue window or exterior door opening.  Where openings are provided as a means of escape and rescue, they shall have a sill height of not more than forty-four inches.",CAAF_FIRESF_ESC,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
84,1,FIRESFGEN,Fire Safety Requirements – Egress,"Section 16.24.530 (A) - General: A safe, continuous, and unobstructed means of egress shall be provided from any point in a building or structure to the public way, in accordance with the requirements of the building code and fire code as adopted by the metropolitan government.",CAAF_FIRESF_GEN,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
